TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
2970,1561,1409,135,117,2666,2295,0,13,498,0,0,26,854,126,490,157,184,0,55,2267,2678,9,68,138750,25,327,8,313,1696,972,2920,364,"Census Tract 1, San Diego County, California",6,73,100
2198,1228,970,151,151,1862,1797,0,0,91,8,8,11,644,66,326,120,206,33,40,1820,2119,33,204,81750,41,220,0,179,820,740,2181,252,"Census Tract 2.01, San Diego County, California",6,73,201
4129,2189,1940,302,302,3506,3099,0,4,594,3,3,92,1309,390,528,315,581,32,19,3513,4070,155,119,81806,110,778,23,347,1481,1526,3894,420,"Census Tract 2.02, San Diego County, California",6,73,202
2258,945,1313,78,78,1955,1504,0,0,534,42,42,38,675,113,375,120,416,35,0,1983,2172,105,341,77047,31,271,32,83,678,1160,2103,146,"Census Tract 3.01, San Diego County, California",6,73,301
2945,1486,1459,116,61,2586,2246,0,7,507,85,163,34,957,126,326,133,538,17,28,2501,2828,82,283,66548,68,217,0,77,401,1109,2565,285,"Census Tract 3.02, San Diego County, California",6,73,302
3922,1843,2079,557,557,2504,1971,11,0,1155,166,166,310,830,145,454,271,939,173,11,3348,3849,92,238,76623,193,683,98,179,1138,1671,3578,300,"Census Tract 4, San Diego County, California",6,73,400
3113,1618,1495,208,198,2435,2234,22,0,592,14,14,135,803,207,365,186,569,60,0,2551,2953,53,258,84414,113,305,17,224,1198,1116,2963,356,"Census Tract 5, San Diego County, California",6,73,500
3288,1319,1969,178,178,2499,2006,0,39,723,149,190,109,977,231,483,263,544,88,40,2876,3208,78,289,83514,72,451,8,184,838,1653,3105,287,"Census Tract 6, San Diego County, California",6,73,600
4322,2062,2260,305,280,3520,3036,0,0,746,89,89,216,1358,190,849,331,619,28,37,3925,4169,53,297,86187,68,579,54,310,1752,1728,4235,357,"Census Tract 7, San Diego County, California",6,73,700
5155,2342,2813,250,237,4271,3613,0,6,1058,186,233,208,1947,382,495,201,793,125,140,4460,4938,74,391,75259,159,541,83,317,1540,2207,4912,481,"Census Tract 8, San Diego County, California",6,73,800
3455,1629,1826,314,296,2567,1536,0,0,1459,139,139,348,1318,145,376,323,590,0,91,3100,3364,66,260,78897,120,744,40,104,1021,1546,3064,96,"Census Tract 9.01, San Diego County, California",6,73,901
2218,1094,1124,207,207,1508,1245,24,0,381,287,287,118,470,131,377,167,345,73,43,1970,2188,100,205,64066,35,750,132,132,615,734,1857,335,"Census Tract 9.02, San Diego County, California",6,73,902
3995,2016,1979,219,219,3109,2032,0,0,1462,135,135,184,1091,211,584,302,815,45,11,3401,3830,40,356,72610,96,490,86,284,959,1797,3707,290,"Census Tract 10, San Diego County, California",6,73,1000
3118,1382,1736,202,202,2203,1811,53,0,577,197,208,123,930,314,327,222,413,10,0,2586,2912,79,129,80233,67,379,70,243,1103,1266,2852,205,"Census Tract 11, San Diego County, California",6,73,1100
2705,1486,1219,239,239,1895,754,17,0,1360,320,320,24,821,294,253,291,322,55,69,2160,2472,109,163,64680,161,740,0,219,655,727,2358,269,"Census Tract 12.01, San Diego County, California",6,73,1201
3334,1517,1817,206,127,2365,1708,34,0,1112,284,284,256,957,192,410,273,550,48,91,2666,3175,179,571,69203,29,363,41,187,697,1224,2899,231,"Census Tract 12.02, San Diego County, California",6,73,1202
